Day,Counted firm returns,Average peer group return,Standard deviation of peer group return,Minimum return,25%,50%,75%,Maximum return
2023-05-26,0.0,,,,,,,
2023-05-30,11.0,0.010952972155427636,0.014123129981748753,-0.007543555387224399,0.0031065377539500894,0.006217328517573506,0.020677182354348234,0.03413792314200559
2023-05-31,11.0,-0.004734312952124908,0.024249896888099472,-0.05676746045490666,-0.0094216437178129,-0.006873643952856168,0.0005541015414087802,0.04834947562540082
2023-06-01,11.0,0.013672341163014877,0.01716819215159088,-0.00986009440283575,0.004163624362193974,0.012759133155475944,0.0198041664297971,0.05117099954001891
2023-06-02,11.0,0.008560580349942781,0.0096308714825108,-0.011139108702468925,0.00520229770401337,0.0076786044202141746,0.01519538702329859,0.022542460731546532
2023-06-05,11.0,-0.0043635416804358755,0.015192830741782314,-0.04631104696019128,-0.00597194510908039,-0.003966756634556257,0.002729915657997517,0.010748407692035666
2023-06-06,10.0,0.0024068262314699386,0.014189252340108262,-0.013198537504212404,-0.005788332465704288,-0.001527642995746814,0.007831699576082873,0.03683852818608968
2023-06-07,10.0,-0.01882237996139704,0.020545468969557935,-0.04249267220189956,-0.03296011056513706,-0.029068895210634937,-0.002390831658299397,0.0127364715525764
2023-06-08,11.0,0.012560381418770776,0.01642701772984904,-0.0029387804926658267,-0.0005926061446158704,0.005813608925801628,0.02108734611111185,0.0495075327320571
2023-06-09,11.0,0.004536170145403246,0.012518059585914981,-0.015084838052792482,0.0001671353055616165,0.002159823746078704,0.006686517637767175,0.034097900513237134
2023-06-12,11.0,0.020093497740219866,0.01826671292231132,-0.01388888888888884,0.013509769419006723,0.01651233860801038,0.02423131704410708,0.05520100618421586
2023-06-13,11.0,0.010059123998582876,0.01231279704767124,-0.002611653218746124,0.001266468770254492,0.0073527268239528265,0.01163528947198178,0.03900510007295099
2023-06-14,11.0,0.010389467060381434,0.01932406714100647,-0.0029070431506559302,-0.0013405062216528263,0.003149653721949086,0.008302856672909531,0.04924806815562488
2023-06-15,11.0,0.012341074832080063,0.013167996118312583,-0.008000563833848728,0.006101659359584843,0.011198682211304156,0.02138306024361636,0.03189663212910987
2023-06-16,11.0,-0.0023077387165768874,0.009790086593216948,-0.016575752456419512,-0.009559193809899058,-0.002944990284249993,0.0034458722415328102,0.015354529361987002
2023-06-19,1.0,-0.00835654596100277,,-0.00835654596100277,-0.00835654596100277,-0.00835654596100277,-0.00835654596100277,-0.00835654596100277
2023-06-20,1.0,0.002808988764045006,,0.002808988764045006,0.002808988764045006,0.002808988764045006,0.002808988764045006,0.002808988764045006
2023-06-21,11.0,-0.017657317967667008,0.014756526045606271,-0.05999995640345979,-0.0173322833879343,-0.01357906682314558,-0.011032890738759626,-0.0056753030870986265
2023-06-22,11.0,0.009311786406055506,0.01618301039448121,-0.01884960899425081,-0.00012763833199069818,0.01134751773049647,0.01748136942834788,0.04261789623803569
2023-06-23,11.0,-0.0031401255066012042,0.012020692237216815,-0.018965726117627812,-0.01353558559446616,-0.006300361919969633,0.006536696074053494,0.01495040589888097
2023-06-26,11.0,-0.011333840440732712,0.018836177445912934,-0.037361674407103695,-0.02592937576835508,-0.010748455689794989,0.0039593295286299846,0.01475704064122052
2023-06-27,11.0,0.015960958852903426,0.010096896897926708,-8.445586568550656e-05,0.010279758148811657,0.015059066345298966,0.021574729130211634,0.030811170088894002
2023-06-28,11.0,-0.002898483335225294,0.010159363006623416,-0.018124931132126654,-0.010055633918488516,-0.001083754432466999,0.0026016064973869435,0.015634230081078115
2023-06-29,11.0,-0.003239128224739747,0.010188875169020025,-0.019660406714685386,-0.008910470985018737,-0.004126547455295726,0.0022870717657009765,0.017456004459976526
2023-06-30,11.0,0.013817302183546537,0.011316441413196657,-0.002762430939226568,0.007693705691586894,0.016104490481744893,0.019296158877003644,0.036254930548998754
2023-07-03,11.0,-0.0005603952596936871,0.005918026638252348,-0.007784680606965799,-0.005416708995562125,-0.0010462550796112025,0.0021474545264218436,0.011080332409972193
2023-07-04,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2023-07-05,1.0,-0.013698630136986356,,-0.013698630136986356,-0.013698630136986356,-0.013698630136986356,-0.013698630136986356,-0.013698630136986356
2023-07-06,11.0,-0.008004390292387996,0.00810153008912669,-0.016610244111302852,-0.014481713424132348,-0.008085079737372824,-0.005306329636997509,0.009226660279469279
2023-07-07,11.0,-0.0026928317224266048,0.010064856792125496,-0.023743016759776525,-0.005568220545547786,-0.0037534855946850243,0.003832030548704679,0.011062622017709689
2023-07-10,11.0,-0.0007843076859041256,0.017531376243165375,-0.025359945794775296,-0.013419758626998846,-0.005722460658083017,0.010164350985055082,0.027943525473703712
2023-07-11,11.0,0.01145310974083056,0.008605712827552922,-0.002810024800285138,0.005629796374481466,0.012978852839820476,0.015575112709638184,0.02877697841726623
2023-07-12,11.0,0.010850266617588478,0.018450355516421935,-0.026477307783936754,0.005392593659704903,0.014226880527450136,0.018053064426917453,0.03704444492415715
2023-07-13,11.0,0.017692250011927,0.01698488319079562,-0.0032372163576646074,0.006093790333291271,0.015569512705896127,0.023155344039697656,0.04726436271527912
2023-07-14,11.0,-0.0035140505502915254,0.013168199451932976,-0.022317052948265803,-0.012767409108027372,-0.003882947129411729,0.004947694842881822,0.020862308762169768
2023-07-17,11.0,0.008722852808470828,0.013199187489084253,-0.008315972513331604,2.8482421476183628e-05,0.006296938793951767,0.015616241976322165,0.036802333328807
2023-07-18,11.0,0.006831097238967041,0.0158841105075517,-0.017735334242837686,-0.0034030009907833336,0.00460367232715253,0.014030285257228381,0.039799782520444804
