Day,Counted firm returns,Average peer group return,Standard deviation of peer group return,Minimum return,25%,50%,75%,Maximum return
2023-05-29,0.0,,,,,,,
2023-05-30,1.0,0.04514849067914595,,0.04514849067914595,0.04514849067914595,0.04514849067914595,0.04514849067914595,0.04514849067914595
2023-05-31,11.0,0.000999261099842426,0.004648275020734685,-0.005644442048047371,-0.00012648123417896562,0.0,0.0017719816479176975,0.01201768344974563
2023-06-01,10.0,0.004449785917161009,0.016194937566622842,-0.01805965202942783,-0.0007623578413814558,0.0,0.0061706819106897015,0.0445232023926152
2023-06-02,10.0,0.006145995780898794,0.011618507917789234,-0.0005087002492376591,0.0,0.0,0.008192080354138154,0.03657055674623044
2023-06-05,11.0,-0.006313440034487477,0.0201313358342601,-0.0658377385206268,-0.005454310288424136,0.0,0.0022114807998959707,0.005109536457890584
2023-06-06,11.0,0.008357891367819463,0.01767358792988903,-0.0076068500265957795,0.0,0.0004948158997948315,0.00790198510938167,0.053614602867024574
2023-06-07,11.0,-0.010323347706624323,0.014674440754504659,-0.04624071547724218,-0.015348349197392641,-0.004698284697356447,0.0,0.0004377147296628081
2023-06-08,11.0,0.0007003992867922294,0.011112656238951923,-0.028497425785291797,0.0,0.0,0.006735034919421068,0.01368811858556862
2023-06-09,11.0,-0.0005377985277576845,0.008492222478944942,-0.01904761904761909,-0.0019859599529865046,0.0,0.002791774015217574,0.013888853322332029
2023-06-12,11.0,0.008843598326519203,0.014130141257993598,-0.007588960328380967,0.0,0.004566227543908896,0.013145420083202408,0.03850051862684434
2023-06-13,11.0,0.011965301393837375,0.01898490211775799,-0.012443435822394489,0.0,0.010909080505371094,0.017180085566183778,0.05945258113309082
2023-06-14,11.0,0.005892921263551767,0.014800702587903962,-0.013489174467085197,0.0,0.0011724456706834196,0.012447600921568047,0.033745559447632356
2023-06-15,11.0,0.000920674810641781,0.008659229994938787,-0.02062239353157791,0.0,0.0,0.006347053356252075,0.011300649445220579
2023-06-16,11.0,0.0028119449381122904,0.0072654052207061035,-0.009033372226935565,0.0,0.0,0.005054591924362195,0.018759561844353456
2023-06-19,1.0,0.0015031569808814371,,0.0015031569808814371,0.0015031569808814371,0.0015031569808814371,0.0015031569808814371,0.0015031569808814371
2023-06-20,1.0,-0.029643490412262885,,-0.029643490412262885,-0.029643490412262885,-0.029643490412262885,-0.029643490412262885,-0.029643490412262885
2023-06-21,11.0,-0.004044064683195908,0.007781166009397335,-0.016628008315036746,-0.009004826176056857,-0.0027422060440462914,0.0,0.01028560704255188
2023-06-22,11.0,0.0024174668295890486,0.016203265304624372,-0.03679924960979197,-0.0008062623251586243,0.0,0.010406593033536193,0.02752649811995278
2023-06-23,11.0,-0.0022428012134736845,0.027793532222529938,-0.030998832451497815,-0.017844951377191276,-0.0015942363739132048,0.0,0.07265978362019165
2023-06-26,11.0,0.0038293541175272324,0.012724799465264681,-0.02481694923697908,-0.00035342578072089514,0.0,0.01376555283394354,0.018315017973791203
2023-06-27,11.0,0.01327242517123754,0.01896709259649207,-0.015928510142107832,0.0,0.008752946213226975,0.024675091130899607,0.046918879328547325
2023-06-28,11.0,-0.00024357708759693462,0.013980502874120764,-0.018820282317367765,-0.006764073312008678,-0.002460028832584782,0.0,0.0339518599661226
2023-06-29,11.0,-0.005407952718944686,0.0177030579566218,-0.053290257183281176,-0.005400994546162774,-0.0016072761976210215,0.0007800278191502086,0.019242755209756046
2023-06-30,11.0,0.0010257539138112115,0.008172556841233886,-0.01326661343712443,-0.0028746646897108707,0.0,0.00564256950755837,0.014684655679040981
2023-07-03,11.0,-0.002021487643140736,0.017204287240262975,-0.037129721115702674,-0.007890834706617722,0.0,0.006447042248156509,0.02709685645912785
2023-07-04,1.0,0.016594234893568593,,0.016594234893568593,0.016594234893568593,0.016594234893568593,0.016594234893568593,0.016594234893568593
