Day,Counted firm returns,Average peer group return,Standard deviation of peer group return,Minimum return,25%,50%,75%,Maximum return
2023-07-05,1.0,-0.022541777459186174,,-0.022541777459186174,-0.022541777459186174,-0.022541777459186174,-0.022541777459186174,-0.022541777459186174
2023-07-06,11.0,-0.0152485663117979,0.018071829254736833,-0.04413513796577129,-0.02704339561955249,-0.014892364198191288,0.0,0.006236027118330378
2023-07-07,11.0,0.00530522291155102,0.013607972361423122,-0.011476664384269308,0.0,0.0,0.0076572989659663415,0.041029436701908395
2023-07-10,11.0,0.005646865015966159,0.010357107263667759,-0.010960849090384195,0.0,0.0032754657535705167,0.00990323378974245,0.026402615333808388
2023-07-11,11.0,0.023563198742009336,0.031018688889017147,0.0,0.0044964200763882856,0.01205792421738705,0.031318985966716895,0.10024185273810393
2023-07-12,11.0,0.00836982143913869,0.019786233272530263,-0.013544022322520277,-0.002752908229037121,0.0,0.0196446357073895,0.04206793169476275
2023-07-13,11.0,0.005803908049313936,0.009594729444719736,-0.005111100938585023,0.0,0.0011000932061879798,0.010825257060920301,0.02292770946943068
2023-07-14,11.0,-0.001663673423421421,0.00821004622501863,-0.018965539637416318,-0.001342533479931629,0.0,0.004162134181838195,0.005919128589208844
2023-07-17,11.0,0.0048176277102029074,0.012632521761790548,-0.013186779651013003,0.0,0.0007692483755259438,0.007489933541659055,0.0348617675173466
2023-07-18,11.0,0.002495547828959403,0.02438062578145397,-0.04047679339661936,-0.0025211952865549225,0.0,0.00845205853185893,0.05033403663094793
2023-07-19,11.0,-0.00041128344473833673,0.012900444668341832,-0.014617979770099598,-0.006380577636203089,0.0,0.0,0.0354741908600682
2023-07-20,11.0,-0.0023564698318226736,0.004255561028951145,-0.012982283048891041,-0.004224060593963352,0.0,0.0,0.0021193258746206034
2023-07-21,11.0,-0.012762199315493161,0.05293656123493496,-0.1641744231755683,-0.005825187813601196,-0.0017543425226828058,0.0,0.05151625152276029
