,Dep. Variable:,weekly_return,R-squared:,0.222
0,Model:,OLS,Adj. R-squared:,-0.555
1,Method:,Least Squares,F-statistic:,0.2861
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.834
3,Time:,08:40:58,Log-Likelihood:,14.949
4,No. Observations:,7,AIC:,-21.9
5,Df Residuals:,3,BIC:,-22.11
6,Df Model:,3,,
7,Covariance Type:,nonrobust,,
