,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0073,0.005,1.388,0.208,-0.005,0.02
1,np.sinh(roberta_pos),-0.0028,0.013,-0.215,0.836,-0.034,0.028
