,Dep. Variable:,weekly_return,R-squared:,0.470
0,Model:,OLS,Adj. R-squared:,0.116
1,Method:,Least Squares,F-statistic:,1.328
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.386
3,Time:,08:40:57,Log-Likelihood:,17.436
4,No. Observations:,6,AIC:,-28.87
5,Df Residuals:,3,BIC:,-29.5
6,Df Model:,2,,
7,Covariance Type:,nonrobust,,
