,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.021,0.018,1.157,0.299,-0.026,0.068
1,np.sinh(roberta_sum),0.1046,0.149,0.7,0.515,-0.28,0.489
2,np.sinh(roberta_sum_lag_1),-0.1088,0.097,-1.117,0.315,-0.359,0.141
