,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0091,0.015,0.604,0.578,-0.033,0.051
1,roberta_sum,-0.0518,0.14,-0.37,0.73,-0.44,0.337
2,roberta_sum_lag_1,-0.0438,0.08,-0.546,0.614,-0.266,0.179
3,sp500_weekly_returns_alternate,0.6486,0.636,1.02,0.365,-1.116,2.413
