,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,-0.0005,0.003,-0.151,0.881,-0.007,0.006
1,daily_roberta_sum,-0.0507,0.022,-2.271,0.029,-0.096,-0.005
2,daily_roberta_sum_lag_1,0.0263,0.022,1.176,0.248,-0.019,0.072
