,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,-0.1099,0.122,-0.897,0.42,-0.45,0.23
1,roberta_pos,0.1317,0.286,0.461,0.669,-0.662,0.926
2,roberta_pos_lag_1,0.3026,0.293,1.034,0.36,-0.51,1.115
3,sp500_weekly_returns_alternate,1.4891,1.241,1.2,0.296,-1.956,4.934
