,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.2099,0.329,0.639,0.551,-0.635,1.055
1,np.sinh(roberta_neg),0.0114,0.177,0.065,0.951,-0.443,0.465
2,np.sinh(roberta_neg_lag_1),-0.5916,0.837,-0.706,0.511,-2.744,1.561
