,Dep. Variable:,average_volatility,R-squared:,0.188
0,Model:,OLS,Adj. R-squared:,-0.136
1,Method:,Least Squares,F-statistic:,0.5802
2,Date:,"Wed, 02 Aug 2023",Prob (F-statistic):,0.593
3,Time:,08:25:09,Log-Likelihood:,40.564
4,No. Observations:,8,AIC:,-75.13
5,Df Residuals:,5,BIC:,-74.89
6,Df Model:,2,,
7,Covariance Type:,nonrobust,,
