,Dep. Variable:,apple_daily_abnormal_return,R-squared:,0.018
0,Model:,OLS,Adj. R-squared:,-0.036
1,Method:,Least Squares,F-statistic:,0.3387
2,Date:,"Wed, 02 Aug 2023",Prob (F-statistic):,0.715
3,Time:,08:25:08,Log-Likelihood:,137.23
4,No. Observations:,39,AIC:,-268.5
5,Df Residuals:,36,BIC:,-263.5
6,Df Model:,2,,
7,Covariance Type:,nonrobust,,
