,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0833,0.102,0.817,0.451,-0.179,0.346
1,np.log(roberta_pos),0.0016,0.049,0.032,0.976,-0.124,0.127
2,np.log(roberta_pos_lag_1),0.0551,0.05,1.105,0.32,-0.073,0.183
