,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,-0.0006,0.062,-0.009,0.993,-0.148,0.146
1,np.sinh(roberta_neg),-0.0038,0.208,-0.018,0.986,-0.496,0.489
