,Dep. Variable:,weekly_return,R-squared:,0.646
0,Model:,OLS,Adj. R-squared:,0.409
1,Method:,Least Squares,F-statistic:,2.733
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.211
3,Time:,08:40:57,Log-Likelihood:,18.646
4,No. Observations:,6,AIC:,-31.29
5,Df Residuals:,3,BIC:,-31.92
6,Df Model:,2,,
7,Covariance Type:,nonrobust,,
