,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,-0.1009,0.01,-9.98,0.064,-0.229,0.028
1,np.sqrt(roberta_pos),-0.1865,0.011,-17.381,0.037,-0.323,-0.05
2,np.sqrt(roberta_pos_lag_1),0.2854,0.01,28.043,0.023,0.156,0.415
3,np.sqrt(sp500_weekly_returns_alternate),0.4775,0.01,48.941,0.013,0.354,0.601
