,Dep. Variable:,average_volatility,R-squared:,0.399
0,Model:,OLS,Adj. R-squared:,0.158
1,Method:,Least Squares,F-statistic:,1.658
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.28
3,Time:,08:40:59,Log-Likelihood:,27.622
4,No. Observations:,8,AIC:,-49.24
5,Df Residuals:,5,BIC:,-49.01
6,Df Model:,2,,
7,Covariance Type:,nonrobust,,
