,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0117,0.026,0.442,0.672,-0.051,0.074
1,np.sinh(roberta_neg),0.0016,0.068,0.024,0.981,-0.159,0.163
