,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0015,0.004,0.359,0.722,-0.007,0.01
1,daily_roberta_sum,-0.0393,0.028,-1.412,0.167,-0.096,0.017
2,daily_roberta_sum_lag_1,0.0265,0.027,0.967,0.34,-0.029,0.082
3,sp500_daily_returns,0.7618,0.591,1.29,0.206,-0.438,1.962
