,Dep. Variable:,weekly_abnormal_return,R-squared:,0.022
0,Model:,OLS,Adj. R-squared:,-0.118
1,Method:,Least Squares,F-statistic:,0.1556
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.705
3,Time:,08:40:59,Log-Likelihood:,22.248
4,No. Observations:,9,AIC:,-40.5
5,Df Residuals:,7,BIC:,-40.1
6,Df Model:,1,,
7,Covariance Type:,nonrobust,,
