,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0904,0.744,0.122,0.911,-2.277,2.458
1,np.sqrt(roberta_neg),-0.1592,1.197,-0.133,0.903,-3.969,3.65
2,np.sqrt(sp500_weekly_returns_alternate),0.2408,0.481,0.501,0.651,-1.289,1.771
