,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0292,0.025,1.181,0.291,-0.034,0.093
1,np.sqrt(roberta_neg),-0.0749,0.066,-1.142,0.305,-0.243,0.094
2,np.sqrt(roberta_neg_lag_1),0.0328,0.046,0.709,0.51,-0.086,0.152
