,Dep. Variable:,average_volatility,R-squared:,0.006
0,Model:,OLS,Adj. R-squared:,-0.136
1,Method:,Least Squares,F-statistic:,0.04207
2,Date:,"Wed, 02 Aug 2023",Prob (F-statistic):,0.843
3,Time:,08:25:09,Log-Likelihood:,43.922
4,No. Observations:,9,AIC:,-83.84
5,Df Residuals:,7,BIC:,-83.45
6,Df Model:,1,,
7,Covariance Type:,nonrobust,,
