,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0753,0.455,0.165,0.879,-1.374,1.525
1,np.log(roberta_neg),-0.0008,0.389,-0.002,0.998,-1.239,1.238
2,np.log(sp500_weekly_returns_alternate),0.0118,0.021,0.568,0.61,-0.054,0.078
