,Dep. Variable:,average_volatility,R-squared:,0.430
0,Model:,OLS,Adj. R-squared:,0.202
1,Method:,Least Squares,F-statistic:,1.888
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.245
3,Time:,08:40:58,Log-Likelihood:,27.838
4,No. Observations:,8,AIC:,-49.68
5,Df Residuals:,5,BIC:,-49.44
6,Df Model:,2,,
7,Covariance Type:,nonrobust,,
