,Dep. Variable:,weekly_return,R-squared:,0.112
0,Model:,OLS,Adj. R-squared:,-0.184
1,Method:,Least Squares,F-statistic:,0.3795
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.7
3,Time:,08:40:58,Log-Likelihood:,19.385
4,No. Observations:,9,AIC:,-32.77
5,Df Residuals:,6,BIC:,-32.18
6,Df Model:,2,,
7,Covariance Type:,nonrobust,,
