,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,-0.0102,0.015,-0.662,0.512,-0.042,0.021
1,np.sinh(daily_roberta_neg),0.0997,0.04,2.467,0.019,0.018,0.182
2,np.sinh(daily_roberta_neg_lag_1),-0.0683,0.041,-1.682,0.102,-0.151,0.014
