,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0043,0.007,0.624,0.56,-0.013,0.022
1,sensitivity,-0.0608,0.06,-1.02,0.355,-0.214,0.092
2,sp500_weekly_returns_alternate,0.7436,0.529,1.406,0.219,-0.616,2.103
