,Dep. Variable:,weekly_abnormal_return,R-squared:,0.000
0,Model:,OLS,Adj. R-squared:,-0.142
1,Method:,Least Squares,F-statistic:,0.003081
2,Date:,"Wed, 02 Aug 2023",Prob (F-statistic):,0.957
3,Time:,08:25:09,Log-Likelihood:,22.403
4,No. Observations:,9,AIC:,-40.81
5,Df Residuals:,7,BIC:,-40.41
6,Df Model:,1,,
7,Covariance Type:,nonrobust,,
