,Dep. Variable:,average_volatility,R-squared:,0.007
0,Model:,OLS,Adj. R-squared:,-0.135
1,Method:,Least Squares,F-statistic:,0.04625
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.836
3,Time:,08:40:56,Log-Likelihood:,43.924
4,No. Observations:,9,AIC:,-83.85
5,Df Residuals:,7,BIC:,-83.45
6,Df Model:,1,,
7,Covariance Type:,nonrobust,,
