,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0128,0.005,2.416,0.046,0.0,0.025
1,np.sinh(roberta_sum),0.0049,0.039,0.126,0.903,-0.088,0.098
