,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,-0.0076,0.008,-0.937,0.355,-0.024,0.009
1,np.log(daily_roberta_pos),-0.0074,0.008,-0.959,0.344,-0.023,0.008
2,np.log(daily_roberta_pos_lag_1),-6.39e-05,0.008,-0.008,0.994,-0.016,0.016
