,Dep. Variable:,average_volatility,R-squared:,0.004
0,Model:,OLS,Adj. R-squared:,-0.138
1,Method:,Least Squares,F-statistic:,0.03028
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.867
3,Time:,08:40:57,Log-Likelihood:,43.914
4,No. Observations:,9,AIC:,-83.83
5,Df Residuals:,7,BIC:,-83.43
6,Df Model:,1,,
7,Covariance Type:,nonrobust,,
