,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0175,0.012,1.454,0.206,-0.013,0.049
1,np.sinh(roberta_neg),-0.0667,0.057,-1.165,0.296,-0.214,0.081
2,np.sinh(roberta_neg_lag_1),0.0294,0.039,0.746,0.489,-0.072,0.131
