,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0015,0.002,0.959,0.344,-0.002,0.005
1,daily_roberta_sum,-0.0124,0.012,-1.07,0.292,-0.036,0.011
2,daily_roberta_sum_lag_1,0.0036,0.011,0.331,0.743,-0.018,0.026
3,sp500_daily_returns,1.1244,0.223,5.042,0.0,0.672,1.577
