,Dep. Variable:,average_volatility,R-squared:,0.101
0,Model:,OLS,Adj. R-squared:,-0.049
1,Method:,Least Squares,F-statistic:,0.6727
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.443
3,Time:,08:40:56,Log-Likelihood:,40.154
4,No. Observations:,8,AIC:,-76.31
5,Df Residuals:,6,BIC:,-76.15
6,Df Model:,1,,
7,Covariance Type:,nonrobust,,
