,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0064,0.038,0.167,0.869,-0.073,0.086
1,np.log(daily_roberta_pos),-0.0246,0.019,-1.268,0.218,-0.065,0.016
2,np.log(sp500_daily_returns),0.0055,0.005,1.026,0.316,-0.006,0.017
