,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,-0.1129,0.318,-0.355,0.737,-0.929,0.704
1,np.sqrt(roberta_neg),0.8038,0.842,0.955,0.383,-1.36,2.967
2,np.sqrt(roberta_neg_lag_1),-0.5884,0.594,-0.99,0.368,-2.116,0.939
