,Dep. Variable:,blizzard_ent_daily_return,R-squared:,0.090
0,Model:,OLS,Adj. R-squared:,0.039
1,Method:,Least Squares,F-statistic:,1.775
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.184
3,Time:,08:40:58,Log-Likelihood:,103.1
4,No. Observations:,39,AIC:,-200.2
5,Df Residuals:,36,BIC:,-195.2
6,Df Model:,2,,
7,Covariance Type:,nonrobust,,
