,Dep. Variable:,apple_daily_abnormal_return,R-squared:,0.031
0,Model:,OLS,Adj. R-squared:,-0.023
1,Method:,Least Squares,F-statistic:,0.5701
2,Date:,"Wed, 02 Aug 2023",Prob (F-statistic):,0.571
3,Time:,08:25:08,Log-Likelihood:,137.47
4,No. Observations:,39,AIC:,-268.9
5,Df Residuals:,36,BIC:,-264.0
6,Df Model:,2,,
7,Covariance Type:,nonrobust,,
