,Dep. Variable:,weekly_return,R-squared:,0.665
0,Model:,OLS,Adj. R-squared:,-0.341
1,Method:,Least Squares,F-statistic:,0.6608
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.694
3,Time:,08:40:59,Log-Likelihood:,12.006
4,No. Observations:,5,AIC:,-16.01
5,Df Residuals:,1,BIC:,-17.57
6,Df Model:,3,,
7,Covariance Type:,nonrobust,,
