,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0005,0.002,0.277,0.783,-0.003,0.004
1,np.sinh(daily_roberta_sum),-0.0125,0.012,-1.045,0.303,-0.037,0.012
2,np.sinh(daily_roberta_sum_lag_1),0.0026,0.011,0.232,0.818,-0.02,0.025
