,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0279,0.014,1.977,0.056,-0.001,0.057
1,np.log(daily_roberta_neg),0.0261,0.014,1.879,0.068,-0.002,0.054
