,Dep. Variable:,apple_daily_return,R-squared:,0.359
0,Model:,OLS,Adj. R-squared:,0.324
1,Method:,Least Squares,F-statistic:,10.35
2,Date:,"Wed, 02 Aug 2023",Prob (F-statistic):,0.00027
3,Time:,08:25:08,Log-Likelihood:,141.37
4,No. Observations:,40,AIC:,-276.7
5,Df Residuals:,37,BIC:,-271.7
6,Df Model:,2,,
7,Covariance Type:,nonrobust,,
