,Dep. Variable:,blizzard_ent_daily_return,R-squared:,0.085
0,Model:,OLS,Adj. R-squared:,0.002
1,Method:,Least Squares,F-statistic:,1.021
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.377
3,Time:,08:40:58,Log-Likelihood:,61.472
4,No. Observations:,25,AIC:,-116.9
5,Df Residuals:,22,BIC:,-113.3
6,Df Model:,2,,
7,Covariance Type:,nonrobust,,
