,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0061,0.007,0.881,0.385,-0.008,0.02
1,np.sinh(daily_roberta_pos),-0.0241,0.017,-1.456,0.154,-0.058,0.009
2,np.sinh(daily_roberta_pos_lag_1),0.0103,0.016,0.63,0.533,-0.023,0.043
3,np.sinh(sp500_daily_returns),1.143,0.22,5.191,0.0,0.696,1.59
