,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,-0.1082,0.12,-0.904,0.417,-0.44,0.224
1,np.sinh(roberta_pos),0.1281,0.275,0.465,0.666,-0.637,0.893
2,np.sinh(roberta_pos_lag_1),0.2943,0.282,1.043,0.356,-0.489,1.078
3,np.sinh(sp500_weekly_returns_alternate),1.4898,1.237,1.204,0.295,-1.945,4.925
