,Dep. Variable:,weekly_return,R-squared:,0.137
0,Model:,OLS,Adj. R-squared:,-0.439
1,Method:,Least Squares,F-statistic:,0.2373
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.802
3,Time:,08:40:59,Log-Likelihood:,11.995
4,No. Observations:,6,AIC:,-17.99
5,Df Residuals:,3,BIC:,-18.61
6,Df Model:,2,,
7,Covariance Type:,nonrobust,,
