,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0712,0.04,1.777,0.089,-0.012,0.154
1,np.log(daily_roberta_neg),0.0353,0.026,1.364,0.187,-0.018,0.089
2,np.log(sp500_daily_returns),0.005,0.005,0.935,0.36,-0.006,0.016
