,Dep. Variable:,apple_daily_return,R-squared:,0.359
0,Model:,OLS,Adj. R-squared:,0.324
1,Method:,Least Squares,F-statistic:,10.34
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.000271
3,Time:,08:40:56,Log-Likelihood:,141.37
4,No. Observations:,40,AIC:,-276.7
5,Df Residuals:,37,BIC:,-271.7
6,Df Model:,2,,
7,Covariance Type:,nonrobust,,
