,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0348,0.052,0.671,0.539,-0.109,0.179
1,np.sinh(roberta_neg),0.8793,0.214,4.108,0.015,0.285,1.474
2,np.sinh(roberta_neg_lag_1),-0.9399,0.192,-4.891,0.008,-1.473,-0.406
3,np.sinh(sp500_weekly_returns_alternate),1.5237,0.338,4.514,0.011,0.587,2.461
