,Dep. Variable:,weekly_return,R-squared:,0.980
0,Model:,OLS,Adj. R-squared:,0.922
1,Method:,Least Squares,F-statistic:,16.7
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.178
3,Time:,08:40:57,Log-Likelihood:,22.848
4,No. Observations:,5,AIC:,-37.7
5,Df Residuals:,1,BIC:,-39.26
6,Df Model:,3,,
7,Covariance Type:,nonrobust,,
