,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,-0.183,0.118,-1.548,0.365,-1.686,1.32
1,np.log(roberta_neg),0.3567,0.093,3.831,0.163,-0.826,1.54
2,np.log(roberta_neg_lag_1),-0.6266,0.159,-3.949,0.158,-2.643,1.39
3,np.log(sp500_weekly_returns_alternate),0.0157,0.003,4.502,0.139,-0.029,0.06
