,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0152,0.005,3.28,0.03,0.002,0.028
1,sensitivity,0.0253,0.064,0.396,0.713,-0.152,0.203
2,sensitivity_lag_1,-0.0318,0.04,-0.803,0.467,-0.142,0.078
