,Dep. Variable:,apple_daily_abnormal_return,R-squared:,0.047
0,Model:,OLS,Adj. R-squared:,-0.006
1,Method:,Least Squares,F-statistic:,0.889
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.42
3,Time:,08:40:55,Log-Likelihood:,137.8
4,No. Observations:,39,AIC:,-269.6
5,Df Residuals:,36,BIC:,-264.6
6,Df Model:,2,,
7,Covariance Type:,nonrobust,,
