,Dep. Variable:,blizzard_ent_daily_return,R-squared:,0.253
0,Model:,OLS,Adj. R-squared:,0.146
1,Method:,Least Squares,F-statistic:,2.369
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.0996
3,Time:,08:40:58,Log-Likelihood:,64.006
4,No. Observations:,25,AIC:,-120.0
5,Df Residuals:,21,BIC:,-115.1
6,Df Model:,3,,
7,Covariance Type:,nonrobust,,
