,Dep. Variable:,weekly_abnormal_return,R-squared:,0.082
0,Model:,OLS,Adj. R-squared:,-0.049
1,Method:,Least Squares,F-statistic:,0.6284
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.454
3,Time:,08:40:57,Log-Likelihood:,22.788
4,No. Observations:,9,AIC:,-41.58
5,Df Residuals:,7,BIC:,-41.18
6,Df Model:,1,,
7,Covariance Type:,nonrobust,,
