,Dep. Variable:,average_volatility,R-squared:,0.003
0,Model:,OLS,Adj. R-squared:,-0.14
1,Method:,Least Squares,F-statistic:,0.02051
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.89
3,Time:,08:40:57,Log-Likelihood:,43.908
4,No. Observations:,9,AIC:,-83.82
5,Df Residuals:,7,BIC:,-83.42
6,Df Model:,1,,
7,Covariance Type:,nonrobust,,
