,Dep. Variable:,average_volatility,R-squared:,0.337
0,Model:,OLS,Adj. R-squared:,0.006
1,Method:,Least Squares,F-statistic:,1.018
2,Date:,"Wed, 02 Aug 2023",Prob (F-statistic):,0.439
3,Time:,08:25:09,Log-Likelihood:,35.738
4,No. Observations:,7,AIC:,-65.48
5,Df Residuals:,4,BIC:,-65.64
6,Df Model:,2,,
7,Covariance Type:,nonrobust,,
