,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0056,0.005,1.157,0.331,-0.01,0.021
1,np.sinh(sensitivity),-0.1535,0.07,-2.193,0.116,-0.376,0.069
2,np.sinh(sensitivity_lag_1),-0.0281,0.047,-0.593,0.595,-0.179,0.123
3,np.sinh(sp500_weekly_returns_alternate),0.9364,0.421,2.226,0.112,-0.402,2.275
