,index,coef,std err,t,P>|t|,[0.025,0.975]
0,Intercept,0.0558,0.096,0.582,0.586,-0.191,0.302
1,np.sinh(roberta_pos),-0.2396,0.202,-1.187,0.289,-0.759,0.279
2,np.sinh(roberta_pos_lag_1),0.0846,0.154,0.549,0.607,-0.311,0.481
