,Dep. Variable:,apple_daily_return,R-squared:,0.354
0,Model:,OLS,Adj. R-squared:,0.319
1,Method:,Least Squares,F-statistic:,10.15
2,Date:,"Wed, 02 Aug 2023",Prob (F-statistic):,0.000307
3,Time:,08:25:08,Log-Likelihood:,141.23
4,No. Observations:,40,AIC:,-276.5
5,Df Residuals:,37,BIC:,-271.4
6,Df Model:,2,,
7,Covariance Type:,nonrobust,,
