,Dep. Variable:,weekly_abnormal_return,R-squared:,0.233
0,Model:,OLS,Adj. R-squared:,-0.074
1,Method:,Least Squares,F-statistic:,0.758
2,Date:,"Mon, 07 Aug 2023",Prob (F-statistic):,0.516
3,Time:,08:40:59,Log-Likelihood:,20.489
4,No. Observations:,8,AIC:,-34.98
5,Df Residuals:,5,BIC:,-34.74
6,Df Model:,2,,
7,Covariance Type:,nonrobust,,
